iter	AUC
761	0.6660289189
762	0.6660566832
763	0.6660854537
764	0.6660842634
765	0.6661230456
766	0.6661495044
767	0.6662054505
768	0.6662109779
769	0.6662381072
770	0.6662807667
771	0.6663216943
772	0.6663440943
773	0.6663642284
774	0.6664126729
775	0.6664297651
776	0.6664508701
777	0.6664779807
778	0.6665080067
779	0.6665463354
780	0.6665714669
781	0.666598072
782	0.666615577
783	0.6666664534
784	0.6667232601
785	0.666768472
786	0.6667861079
787	0.6668250195
788	0.6668544996
789	0.6668697592
790	0.6668958514
791	0.6669215275
792	0.6669515849
793	0.6669664863
794	0.6669763772
795	0.6669967001
796	0.6670491379
797	0.6670791036
798	0.6671077631
799	0.6671384854
800	0.6672311226
801	0.6672482612
802	0.6672799648
803	0.6673331321
804	0.6673433876
805	0.6673513051
806	0.6673830389
807	0.6674309779
808	0.6674703764
809	0.6674951082
810	0.6675230576
811	0.6675403147
812	0.66755913
813	0.6676169813
814	0.6676932572
815	0.6677034898
816	0.6677516576
817	0.6677530732
818	0.6678191493
819	0.6678550662
820	0.6679014288
821	0.6679271661
822	0.6679852318
823	0.6680087387
824	0.6680579103
825	0.6680764527
826	0.6681325399
827	0.6681488677
828	0.6682158177
829	0.6682278374
830	0.66824428
831	0.6682651021
832	0.6682816907
833	0.6683221374
834	0.6683470295
835	0.6683657716
836	0.6684058048
837	0.6684348288
838	0.6684990092
839	0.668519328
840	0.6685500144
841	0.6685869201
842	0.6686496973
843	0.6686877192
844	0.6687091709
845	0.6687198718
846	0.6687656486
847	0.6688180729
848	0.6688330581
849	0.6688717884
850	0.6689035679
851	0.6689546806
852	0.6689789568
853	0.6689969638
854	0.669029578
855	0.66905997
856	0.6690774781
857	0.6691242371
858	0.669160432
859	0.6691883515
860	0.6692348594
861	0.6692510548
862	0.6692913472
863	0.6693357936
864	0.6693654146
865	0.669395643
866	0.6694181266
867	0.6694256143
868	0.6694376897
869	0.6694821184
870	0.6695084944
871	0.6695163617
872	0.6695183726
873	0.6695404463
874	0.6695884346
875	0.6696471964
876	0.6696781156
877	0.6697148887
878	0.6697409676
879	0.6697792437
880	0.6698052865
881	0.669863192
882	0.66990632
883	0.6699254432
884	0.6699566326
885	0.6700139998
886	0.6700642778
887	0.6700936639
888	0.6701157376
889	0.6701341419
890	0.6701549486
891	0.6701882151
892	0.6702074446
893	0.6702211576
894	0.6702279543
895	0.6702863696
896	0.6703176307
897	0.6703541155
898	0.6703849422
899	0.6704091672
900	0.6704402421
901	0.6704661354
902	0.6704716254
903	0.6705140252
904	0.6705712624
905	0.6706340458
906	0.6706654018
907	0.6706808206
908	0.6707021595
909	0.6707289465
910	0.6707732391
911	0.6708922934
912	0.6709136469
913	0.6709629267
914	0.6709753506
915	0.671023253
916	0.671039815
917	0.6710777238
918	0.6711169462
919	0.6711624635
920	0.6711820234
921	0.6711923299
922	0.6712119606
923	0.6712590809
924	0.6712761042
925	0.671286617
926	0.6713248507
927	0.6713437492
928	0.671364702
929	0.6713923867
930	0.6714277242
931	0.6714606029
932	0.6714972243
933	0.6715407057
934	0.6715945433
935	0.6716335133
936	0.6716751635
937	0.671716888
938	0.6717337401
939	0.6717940871
940	0.6718347046
941	0.6718808418
942	0.6719301888
943	0.6719436623
944	0.6719490612
945	0.6719828165
946	0.6720142535
947	0.6720458484
948	0.6720580948
949	0.6720773354
950	0.6721040006
951	0.6721092639
952	0.6721372733
953	0.6721426291
954	0.6721746421
955	0.6722034604
956	0.6722332566
957	0.6722950953
958	0.6723390139
959	0.6723682911
960	0.6723957279
961	0.6724141848
962	0.6724267869
963	0.6724515109
964	0.6724595805
965	0.6724702624
966	0.6724806002
967	0.6724980927
968	0.6725573692
969	0.6725590553
970	0.6726024339
971	0.6726396399
972	0.6726599567
973	0.6726776037
974	0.672707017
975	0.6727335736
976	0.6727578377
977	0.6727971275
978	0.6728226691
979	0.6728644519
980	0.6728762957
981	0.6728888012
982	0.6729098302
983	0.6729117961
984	0.6729467485
985	0.6729640158
986	0.6729843366
987	0.6730164058
988	0.6730248204
989	0.6730319436
990	0.6730526526
991	0.6730782907
992	0.6731039586
993	0.6731376239
994	0.6731670522
995	0.673227214
996	0.6732594809
997	0.6732759295
998	0.673292629
999	0.6733280853
1000	0.673354127
1001	0.6733691522
1002	0.6734028858
1003	0.673453117
1004	0.673474095
1005	0.6735016458
1006	0.6735306613
1007	0.6735611466
1008	0.6736026966
1009	0.6736293391
1010	0.6736532866
1011	0.6736763905
1012	0.6736987605
1013	0.6737164388
1014	0.6737986025
1015	0.6738096178
1016	0.6738215178
1017	0.6738638876
1018	0.6738882002
1019	0.6738946622
1020	0.6739223555
1021	0.6739473401
1022	0.673961217
1023	0.6739849526
1024	0.6739890342
1025	0.6740023924
1026	0.6740473663
1027	0.6740707914
1028	0.6740811424
1029	0.6740977698
1030	0.6741160325
1031	0.6741256023
1032	0.6741509569
1033	0.6741805121
1034	0.6741959528
1035	0.6742590963
1036	0.6742886595
1037	0.6743046025
1038	0.6743266156
1039	0.6743482272
