msid	tstamp	latgps	latgpsutm	lnggps	lnggpsutm	lnglac	lnglacutm	latlac	latlacutm	cellid	lac	mnc
1	20170420101935	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420102333	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420102710	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420102810	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420103207	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420103307	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420103657	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420103802	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420103902	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420104002	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420104102	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420104404	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420104504	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420104604	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420104704	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420104804	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420104904	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420105004	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420105104	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420105204	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420105304	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420105404	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420105504	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420105630	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420105730	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420105839	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420110042	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420110142	31.284858000000003	3462141.4951	121.50096	357312.1664	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420110254	31.284858000000003	3462141.4951	121.50096	357312.1664	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420110356	31.284858000000003	3462141.4951	121.50096	357312.1664	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420110524	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420110624	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420110724	31.284858000000003	3462141.4951	121.50096	357312.1664	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420110833	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420110958	31.28649	3462329.3477	121.495598	356804.1912	121.49673462	356915.2664	31.28839302	3462538.8181	8966933	6266	1.0
1	20170420111058	31.28649	3462329.3477	121.495598	356804.1912	121.49442291	356698.2993	31.29043579	3462768.2563	8839189	6166	1.0
1	20170420111158	31.289078000000003	3462617.2881	121.494777	356729.9513	121.49442291	356698.2993	31.29043579	3462768.2563	8839189	6166	1.0
1	20170420111258	31.28649	3462329.3477	121.495598	356804.1912	121.49347687	356608.245	31.29043579	3462769.486	8966943	6266	1.0
1	20170420111358	31.28649	3462329.3477	121.495598	356804.1912	121.49673462	356915.2664	31.28839302	3462538.8181	8966933	6266	1.0
1	20170420111458	31.28649	3462329.3477	121.495598	356804.1912	121.49673462	356915.2664	31.28839302	3462538.8181	8966933	6266	1.0
1	20170420111700	31.28649	3462329.3477	121.495598	356804.1912	121.49673462	356915.2664	31.28839302	3462538.8181	8966933	6266	1.0
1	20170420111858	31.289078000000003	3462617.2881	121.494777	356729.9513	121.49673462	356915.2664	31.28839302	3462538.8181	8966933	6266	1.0
1	20170420111958	31.289078000000003	3462617.2881	121.494777	356729.9513	121.49442291	356698.2993	31.29043579	3462768.2563	8839189	6166	1.0
1	20170420112102	31.289078000000003	3462617.2881	121.494777	356729.9513	121.49442291	356698.2993	31.29043579	3462768.2563	8839189	6166	1.0
1	20170420112202	31.289078000000003	3462617.2881	121.494777	356729.9513	121.49442291	356698.2993	31.29043579	3462768.2563	8839189	6166	1.0
1	20170420112302	31.289078000000003	3462617.2881	121.494777	356729.9513	121.49442291	356698.2993	31.29043579	3462768.2563	8839189	6166	1.0
1	20170420112422	31.289078000000003	3462617.2881	121.494777	356729.9513	121.49442291	356698.2993	31.29043579	3462768.2563	8839189	6166	1.0
1	20170420112632	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420112732	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420112832	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420112932	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420113032	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420113141	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420113402	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420113502	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420113602	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420113702	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420113817	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420113958	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420114300	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420114443	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420114543	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420114701	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420114909	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420115025	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420115300	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420115400	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420115500	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420115711	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420115823	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420115937	31.285458000000002	3462211.6436	121.498149	357045.4753	121.49545288	356788.6773	31.28536606	3462204.9499	8898335	6266	1.0
1	20170420120243	31.287387	3462424.6227	121.498802	357110.5482	121.50199127	357405.7554	31.28181267	3461802.5939	8898325	6266	1.0
1	20170420120347	31.287387	3462424.6227	121.498802	357110.5482	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420120447	31.287387	3462424.6227	121.498802	357110.5482	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420120702	31.287387	3462424.6227	121.498802	357110.5482	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420120802	31.287387	3462424.6227	121.498802	357110.5482	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420120925	31.287387	3462424.6227	121.498802	357110.5482	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420121038	31.287387	3462424.6227	121.498802	357110.5482	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
1	20170420121138	31.287387	3462424.6227	121.498802	357110.5482	121.49724579	356965.6919	31.28956223	3462667.7593	8898315	6266	1.0
